record_id,workspace_tag,topic_line,tier2_marker
SVL-LITIGATION-T2-0001,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_1
SVL-LITIGATION-T2-0002,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_2
SVL-LITIGATION-T2-0003,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_3
SVL-LITIGATION-T2-0004,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_4
SVL-LITIGATION-T2-0005,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_5
SVL-LITIGATION-T2-0006,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_1
SVL-LITIGATION-T2-0007,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_2
SVL-LITIGATION-T2-0008,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_3
SVL-LITIGATION-T2-0009,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_4
SVL-LITIGATION-T2-0010,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_5
SVL-LITIGATION-T2-0011,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_1
SVL-LITIGATION-T2-0012,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_2
SVL-LITIGATION-T2-0013,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_3
SVL-LITIGATION-T2-0014,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_4
SVL-LITIGATION-T2-0015,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_5
SVL-LITIGATION-T2-0016,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_1
SVL-LITIGATION-T2-0017,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_2
SVL-LITIGATION-T2-0018,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_3
SVL-LITIGATION-T2-0019,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_4
SVL-LITIGATION-T2-0020,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_5
SVL-LITIGATION-T2-0021,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_1
SVL-LITIGATION-T2-0022,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_2
SVL-LITIGATION-T2-0023,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_3
SVL-LITIGATION-T2-0024,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_4
SVL-LITIGATION-T2-0025,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_5
SVL-LITIGATION-T2-0026,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_1
SVL-LITIGATION-T2-0027,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_2
SVL-LITIGATION-T2-0028,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_3
SVL-LITIGATION-T2-0029,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_4
SVL-LITIGATION-T2-0030,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_5
SVL-LITIGATION-T2-0031,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_1
SVL-LITIGATION-T2-0032,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_2
SVL-LITIGATION-T2-0033,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_3
SVL-LITIGATION-T2-0034,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_4
SVL-LITIGATION-T2-0035,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_5
SVL-LITIGATION-T2-0036,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_1
SVL-LITIGATION-T2-0037,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_2
SVL-LITIGATION-T2-0038,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_3
SVL-LITIGATION-T2-0039,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_4
SVL-LITIGATION-T2-0040,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_5
SVL-LITIGATION-T2-0041,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_1
SVL-LITIGATION-T2-0042,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_2
SVL-LITIGATION-T2-0043,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_3
SVL-LITIGATION-T2-0044,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_4
SVL-LITIGATION-T2-0045,LITIGATION,"motion practice, discovery, and docket control",checkpoint_band_5
